customer_id,age,annual_income,spending_score,days_since_last_purchase,credit_score,region,signup_date
308,27.0,,9.0,1.5,658.0,South,2024-12-12
309,41.0,,,59.8,722.0,East,2023-03-15
310,,,,108.4,731.0,East,2023-03-26
311,,,19.1,22.5,713.0,East,2022-08-26
312,48.0,,48.5,8.5,734.0,East,2021-05-12
313,44.0,,37.3,2.7,758.0,North,2024-05-25
314,,42225.54,55.9,62.0,553.0,North,2022-08-26
315,50.0,21475.08,17.8,48.2,850.0,North,2024-07-11
316,35.0,29488.42,36.2,15.6,663.0,Central,2022-04-13
317,,10850.51,56.3,106.9,,West,2021-01-24
318,31.0,,55.8,79.8,663.0,East,2020-07-12
319,38.0,,2.0,19.4,532.0,,2020-07-17
320,33.0,55950.93,15.2,84.0,669.0,East,2023-09-11
321,,,5.7,16.9,587.0,East,2022-06-01
322,,13922.85,30.2,67.5,656.0,East,2021-12-26
323,25.0,86453.21,37.5,7.6,662.0,North,2022-05-17
324,,,,70.7,603.0,Central,2022-04-21
325,22.0,,44.8,16.4,506.0,East,2022-08-14
326,,,22.6,51.0,672.0,East,2024-11-04
327,,,14.4,11.4,650.0,East,2024-02-02
328,,,,77.7,665.0,South,2020-04-20
329,42.0,,6.5,3.8,616.0,East,2023-10-11
330,42.0,,37.8,10.8,597.0,North,2023-08-31
331,34.0,,59.0,12.2,633.0,North,2023-08-16
332,,,47.5,2.5,661.0,West,2020-07-20
333,35.0,,39.8,82.0,704.0,North,2020-05-04
334,,,42.4,237.6,585.0,West,2022-04-04
335,46.0,,24.3,90.4,713.0,Central,2024-01-31
336,33.0,,40.4,118.2,702.0,South,2021-11-25
337,,,18.8,0.4,692.0,North,2024-06-27
338,31.0,,22.4,7.5,796.0,East,2024-10-30
339,39.0,,37.3,49.1,509.0,Central,2020-08-11
340,28.0,,23.4,228.6,806.0,East,2021-05-24
341,25.0,15629.75,27.6,64.9,598.0,West,2021-01-27
342,,,19.5,28.1,,West,2021-01-24
343,,,,9.5,654.0,South,2023-01-03
344,28.0,,30.5,10.0,543.0,Central,2022-07-07
345,,27900.74,48.1,27.0,692.0,West,2020-10-14
346,37.0,,11.1,75.1,719.0,East,2022-05-14
347,,29148.48,17.5,1.9,684.0,North,2021-01-10
348,18.0,,29.5,114.7,532.0,,2021-07-24
349,26.0,,41.2,170.4,551.0,Central,2022-08-05
350,,,23.6,131.8,594.0,Central,2021-05-26
351,38.0,,59.7,146.5,752.0,West,2024-11-25
352,52.0,,12.1,0.9,658.0,North,2020-06-03
353,45.0,,29.6,228.4,490.0,South,2022-06-26
354,,92024.27,53.9,27.4,815.0,South,2024-07-12
355,34.0,,,122.1,770.0,South,2024-10-30
356,,,22.8,12.4,563.0,South,2024-10-19
357,34.0,9841.74,7.6,35.5,617.0,West,2023-02-01
358,31.0,,,2.7,627.0,East,2020-07-19
359,,,9.7,2.5,692.0,South,2020-04-13
360,,,25.8,172.2,666.0,,2023-08-28
361,41.0,34996.07,29.3,99.8,595.0,South,2023-01-12
362,53.0,39786.43,16.1,45.3,755.0,South,2024-09-08
363,,,34.2,44.7,790.0,East,2020-01-31
364,39.0,,35.8,82.9,646.0,South,2020-07-10
365,43.0,31188.58,32.7,25.1,,,2024-03-23
366,,,35.9,86.1,,West,2024-10-04
367,37.0,,,39.8,474.0,North,2021-04-29
368,35.0,,25.2,61.0,578.0,Central,2020-12-06
369,,,22.7,200.9,728.0,South,2022-04-12
370,,129463.24,28.4,38.2,761.0,South,2022-09-21
371,35.0,13442.85,,32.5,624.0,West,2022-09-12
372,,,37.7,141.7,832.0,South,2021-03-13
373,52.0,,30.1,139.7,454.0,West,2024-11-05
374,,34396.25,19.1,292.9,738.0,,2022-04-01
375,60.0,,14.0,48.0,657.0,South,2020-04-30
376,,65626.86,7.3,25.3,611.0,North,2020-12-03
377,,,24.9,16.5,720.0,North,2022-02-15
378,,,22.0,2.1,619.0,Central,2020-01-05
379,61.0,,53.5,77.8,563.0,West,2022-03-10
380,,,13.8,16.0,659.0,North,2021-06-27
381,24.0,22716.98,18.3,56.0,646.0,West,2024-05-24
382,27.0,22118.78,5.9,149.0,588.0,Central,2024-05-26
383,,,32.5,180.0,604.0,West,2022-07-20
384,,,18.9,0.3,617.0,Central,2021-08-07
385,25.0,71242.0,,22.9,520.0,South,2022-05-16
386,36.0,36995.69,24.7,109.0,515.0,Central,2023-11-27
387,,,38.7,46.1,725.0,Central,2024-02-05
388,57.0,10828.93,44.2,98.9,536.0,,2024-05-23
389,46.0,,16.8,115.2,649.0,East,2023-02-12
390,28.0,,29.2,35.1,500.0,North,2023-09-17
391,24.0,,16.4,26.7,770.0,West,2024-01-11
392,40.0,,,36.5,628.0,West,2022-09-23
393,19.0,39430.18,33.4,63.5,739.0,East,2020-11-13
394,,,96.66,27.5,819.0,South,2021-01-23
395,49.0,,25.9,89.5,547.0,North,2021-08-30
396,,,19.8,140.6,596.0,North,2021-03-21
397,18.0,,53.2,19.9,720.0,North,2020-04-29
398,51.0,65280.16,9.0,201.1,599.0,North,2023-04-01
399,33.0,,32.0,58.5,673.0,East,2024-02-15
400,,,37.0,126.3,658.0,West,2023-01-15
401,,,45.8,6.6,463.0,South,2020-05-04
402,,,6.1,17.4,725.0,South,2024-03-11
403,35.0,55686.44,,23.2,639.0,South,2021-10-04
404,35.0,,25.7,21.6,,East,2020-04-27
405,,18375.4,8.6,11.3,774.0,East,2020-04-12
406,42.0,,18.4,121.6,594.0,Central,2023-04-11
407,22.0,,98.23,32.5,589.0,East,2022-09-03
408,33.0,,35.7,198.0,506.0,North,2022-10-26
409,,30815.49,27.8,52.5,,West,2024-10-12
410,41.0,,,8.9,653.0,South,2022-12-23
411,43.0,,32.2,47.4,511.0,East,2020-11-18
412,,,54.7,302.6,670.0,West,2020-04-26
413,,19705.45,27.0,50.0,716.0,North,2022-11-06
414,50.0,73199.15,51.7,0.1,,East,2020-06-13
415,38.0,,13.7,162.3,756.0,East,2024-10-09
416,26.0,,18.6,16.1,602.0,West,2021-01-15
417,53.0,26743.27,19.2,70.0,791.0,North,2020-05-20
418,36.0,,50.6,43.4,650.0,East,2023-05-03
419,49.0,23011.49,9.8,23.6,714.0,West,2020-05-19
420,35.0,14139.3,26.3,19.9,752.0,North,2023-10-14
421,59.0,37313.94,0.8,158.5,850.0,East,2024-10-31
422,56.0,,26.0,145.8,564.0,East,2021-04-26
423,,,17.3,43.2,591.0,,2022-04-06
424,46.0,,3.8,17.9,665.0,Central,2020-09-02
425,42.0,,36.0,6.5,620.0,North,2024-12-28
426,51.0,,41.1,10.2,586.0,West,2023-03-12
427,23.0,78521.33,31.6,44.3,528.0,South,2021-05-19
428,43.0,,,22.1,,East,2023-03-31
429,,19595.2,38.9,2.6,714.0,West,2023-05-02
430,18.0,,32.9,36.4,678.0,South,2020-03-22
431,20.0,,19.1,82.3,520.0,South,2023-06-22
432,18.0,22164.12,,133.4,522.0,Central,2020-06-16
433,31.0,,18.5,52.8,655.0,South,2022-05-08
434,43.0,,19.7,77.1,631.0,North,2023-09-08
435,,,32.0,27.2,625.0,Central,2023-04-10
436,35.0,,95.06,41.1,628.0,Central,2023-03-03
437,,,28.1,78.5,610.0,,2022-12-06
438,18.0,93637.85,46.4,78.0,662.0,East,2021-10-09
439,,,5.7,33.2,738.0,North,2021-06-18
440,,34612.49,,47.1,575.0,West,2021-02-22
441,,,68.2,154.5,686.0,North,2023-10-03
442,,,36.3,60.0,657.0,Central,2024-01-06
443,18.0,,33.4,61.7,,East,2021-10-05
444,,,20.6,92.1,598.0,North,2021-05-03
445,19.0,,12.3,7.3,651.0,East,2021-06-27
446,43.0,,44.4,44.4,823.0,North,2022-03-21
447,,,15.4,192.3,592.0,North,2020-09-25
448,23.0,,13.7,26.9,601.0,South,2023-10-07
449,28.0,,66.2,21.0,683.0,North,2023-08-14
450,22.0,11783.38,10.1,55.2,641.0,East,2021-09-06
451,34.0,25502.22,15.2,15.0,549.0,North,2022-07-25
452,46.0,,31.1,48.7,,West,2021-10-09
453,23.0,,22.8,10.2,501.0,South,2024-03-19
454,,,44.5,52.0,,North,2020-05-28
455,,79287.25,21.5,55.3,568.0,West,2020-01-20
456,,111256.0,17.9,32.5,840.0,East,2022-07-27
457,,,4.4,28.9,608.0,West,2023-06-26
458,22.0,,39.3,16.9,,South,2023-02-27
459,,,57.1,24.1,557.0,East,2020-07-23
460,,,35.9,41.4,665.0,North,2020-05-30
461,,,44.9,17.1,763.0,North,2023-01-06
462,35.0,,4.2,91.6,,West,2021-03-12
463,26.0,,30.1,74.1,563.0,North,2022-11-02
464,,19960.75,17.4,18.8,620.0,East,2021-06-27
465,,,54.0,6.2,633.0,East,2020-09-28
466,32.0,,80.6,0.0,571.0,North,2021-12-15
467,,,,54.5,782.0,West,2024-12-09
468,44.0,,28.2,14.2,652.0,North,2020-05-20
469,,,51.2,0.8,752.0,Central,2024-12-05
470,,,3.4,26.7,736.0,North,2021-05-15
471,,,12.4,196.2,,South,2022-01-26
472,,401621.03,55.0,70.3,549.0,North,2021-08-06
473,,,57.1,117.0,702.0,Central,2020-11-19
474,51.0,,7.7,9.4,610.0,South,2022-06-16
475,,,34.3,4.6,639.0,West,2024-09-03
476,,,22.9,0.7,564.0,South,2023-01-17
477,41.0,31362.23,15.7,187.0,836.0,East,2023-12-11
478,,,42.8,21.4,591.0,Central,2021-09-11
479,71.0,,11.0,36.9,702.0,East,2023-06-06
480,48.0,,9.7,30.1,547.0,East,2024-07-10
481,33.0,,25.7,78.7,630.0,South,2023-09-01
482,23.0,,33.4,22.3,735.0,South,2022-12-19
483,18.0,38801.66,,46.0,678.0,East,2020-01-17
484,,,15.1,325.3,575.0,West,2023-09-29
485,,5391.37,15.9,35.2,593.0,North,2024-07-31
486,,,20.9,48.1,663.0,North,2023-02-09
487,,40430.23,19.7,41.9,649.0,Central,2021-09-05
488,22.0,,38.3,97.5,545.0,South,2023-09-20
489,,20554.4,30.6,18.6,620.0,North,2020-07-31
490,45.0,26700.42,95.45,11.2,638.0,West,2024-12-03
491,,,31.1,84.2,695.0,Central,2020-10-02
492,52.0,,10.2,32.2,731.0,South,2021-06-25
493,,,42.8,147.0,704.0,North,2020-08-24
494,,,4.0,62.0,677.0,East,2024-12-27
495,,,53.0,49.9,679.0,West,2020-08-07
496,,13088.04,,4.4,688.0,West,2024-02-29
497,22.0,,34.3,78.7,727.0,South,2023-02-07
498,,,38.5,69.5,785.0,West,2020-11-14
499,24.0,,,61.3,572.0,South,2021-07-11
500,18.0,,40.2,18.7,614.0,West,2021-07-31
501,,63736.59,38.8,176.0,731.0,North,2023-05-23
502,,,,23.3,570.0,South,2021-03-07
503,,,,9.9,546.0,West,2024-01-09
504,,12020.71,24.4,261.5,599.0,North,2021-12-03
505,27.0,24664.16,6.8,82.3,656.0,North,2021-02-20
506,,,17.7,32.1,612.0,North,2023-11-08
